FID,Name,Class,County,State,Latitude,Longitude
171053,Squaw Rock,Summit,Weld,Colorado,40.96735445,-104.5780369
174527,Squaw Fingers,Pillar,Mesa,Colorado,39.0708151,-108.7203767
175689,Squaw Creek,Stream,Summit,Colorado,39.8105413,-106.1897465
176263,Squaw Creek,Stream,Eagle,Colorado,39.658875,-106.6386454
176603,Squaw Canyon,Valley,"Dolores, San Juan","Utah, Colorado",37.44656573,-109.1119561
176605,Squaw Point,Summit,"Dolores, San Juan","Utah, Colorado",37.64203642,-108.9450963
179169,Squaw,Pillar,Montezuma,Colorado,37.1266613,-108.6895391
182066,Squaw Mountain,Summit,Clear Creek,Colorado,39.67904649,-105.4927859
183071,Squaw Hill,Summit,Yuma,Colorado,39.880269,-102.1849134
184230,Squaw Creek,Stream,Archuleta,Colorado,37.2319479,-107.3997722
184430,Little Squaw Creek,Stream,Archuleta,Colorado,37.2283368,-107.4094946
184522,Squaw Canyon,Valley,Archuleta,Colorado,37.18227911,-107.0245768
187265,Squaw Gulch,Valley,Ouray,Colorado,38.00138746,-107.6941094
187874,Squaw Creek,Stream,Hinsdale,Colorado,37.7244442,-107.2542204
187882,Squaw Lake,Lake,Hinsdale,Colorado,37.63730138,-107.2568408
187889,Little Squaw Creek,Stream,Hinsdale,Colorado,37.728611,-107.2344978
188080,Squaw Pass,Gap,Hinsdale,Colorado,37.6016682,-107.2161622
188151,Squaw Hill,Summit,Montrose,Colorado,38.43942544,-107.6950477
188167,Squaw Creek,Stream,Montrose,Colorado,38.4435992,-107.5567252
188843,Squaw Gulch,Valley,Gunnison,Colorado,38.82050149,-106.9223694
189450,Squaw Creek,Stream,Chaffee,Colorado,38.5833198,-106.0822422
190200,Squaw Creek,Stream,Saguache,Colorado,38.1211076,-106.4658666
191268,Squaw Mountain,Summit,Teller,Colorado,38.71480589,-105.1465493
191298,Squaw Gulch,Valley,Teller,Colorado,38.723639,-105.175511
191543,Squaw Creek,Stream,Fremont,Colorado,38.6063839,-105.5308298
196356,West Squaw Canyon,Valley,"Cimarron, Baca","Oklahoma, Colorado",36.97666866,-102.6664959
196357,East Squaw Canyon,Valley,"Cimarron, Baca","Oklahoma, Colorado",36.97665194,-102.6663643
204711,Squaw Pass,Gap,Clear Creek,Colorado,39.679155,-105.4736076
211116,Squaw Hollow Brook,Stream,Windham,Connecticut,41.850599,-72.176932
211117,Squaw Rock,Summit,Windham,Connecticut,41.7550989,-71.8667383
211118,Squaw Rocks,Island,New Haven,Connecticut,41.2498191,-72.8075986
219270,Big Squaw Valley,Valley,Lake,California,39.45554402,-122.9098101
222899,East Fork Squaw Creek,Stream,Shasta,California,40.9501549,-122.0708343
227378,Little Squaw Valley,Basin,Lake,California,39.3946058,-122.9727784
234374,North Fork Squaw Creek,Stream,Shasta,California,40.7379266,-122.4883471
235056,South Fork Squaw Creek,Stream,Shasta,California,40.7379266,-122.4883471
235300,Squaw Canyon,Valley,Plumas,California,40.11100226,-120.4888043
235301,Squaw Creek,Stream,Mendocino,California,39.8301527,-123.6472427
